state,address,measure,cmap,zoom,interpolate,stroke_width,time_start,time_end,measurement_value,time_resolution,prefix,aspect,width,height,dpi,bleed,mat_width,pad_width,mat_color,pad_color,zoom_px,colorspace,geo_range,flag
AL,"Alabama, United States of America",tcdc,flag,8,2,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#0A003D,#FFFFFF,800,cmyk,"30.1941,35.0079,-88.4731,-84.8884",
AK,"Alaska, United States of America",tcdc,winter_r,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#11A384,#FFFFFF,800,cmyk,"51.2097,71.441,-179.1505,-129.9795",
AZ,"Arizona, United States of America",tcdc,afmhot,8,2,0.25,19790101,20090101,tcdc,monthly,listing,Square,11,14,225,0.25,1,0.25,#741E0B,#FFFFFF,800,cmyk,"31.332,37.0037,-114.8164,-109.045",
AR,"Arkansas, United States of America",tcdc,gist_heat_r,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#482C2F,#FFFFFF,800,cmyk,"33.0042,36.4996,-94.6192,-89.6419",
CA,"California, United States of America",tcdc,CMRmap,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Square,11,14,225,0.25,1,0.25,#3D0B89,#FFFFFF,800,cmyk,"32.5343,42.0095,-124.4096,-114.1308",
CO,"Colorado, United States of America",tcdc,Blues,8,2,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#FFFFFF,#000000,800,cmyk,"36.9923,41.0035,-109.0604,-102.0415",
CT,"Connecticut, United States of America",tcdc,YlGnBu,16,2,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#737467,#FFFFFF,800,cmyk,"40.9805,42.0504,-73.7279,-71.7872",
DE,"Delaware, United States of America",tcdc,cool_r,16,2,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#492B47,#FFFFFF,800,cmyk,"38.451,39.8395,-75.7886,-75.0489",
FL,"Florida, United States of America",tcdc,ocean_r,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#0B002C,#FFFFFF,800,cmyk,"24.521,31.001,-87.6348,-80.0307",
GA,"Georgia, United States of America",tcdc,BuGn_r,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Square,11,14,225,0.25,1,0.25,#6E7F7B,#FFFFFF,800,cmyk,"30.3556,35.0009,-85.6052,-80.8407",
HI,"Hawaii, United States of America",tcdc,BuGn_r,16,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#6E7F7B,#FFFFFF,800,cmyk,"18.9117,22.2356,-160.2471,-154.8066",
ID,"Idaho, United States of America",tcdc,Greys,8,2,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#000000,#FFFFFF,800,cmyk,"41.988,49.0009,-117.2431,-111.0434",
IL,"Illinois, United States of America",tcdc,YlGnBu,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#737467,#FFFFFF,800,cmyk,"36.9701,42.5084,-91.5129,-87.4952",
IN,"Indiana, United States of America",tcdc,gist_heat_r,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#482C2F,#FFFFFF,800,cmyk,"37.7717,41.7607,-88.0975,-84.7846",
IA,"Iowa, United States of America",tcdc,gist_stern_r,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#0D0065,#FFFFFF,800,cmyk,"40.3755,43.501,-96.6394,-90.1404",
KS,"Kansas, United States of America",tcdc,CMRmap,8,2,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#3D0B89,#FFFFFF,800,cmyk,"36.9929,40.0033,-102.0518,-94.5886",
KY,"Kentucky, United States of America",tcdc,BuPu_r,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#88818E,#FFFFFF,800,cmyk,"36.4968,39.1481,-89.4168,-81.965",
LA,"Louisiana, United States of America",tcdc,gist_earth,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#3B5C4D,#FFFFFF,800,cmyk,"28.9287,33.0197,-94.0434,-88.8165",
ME,"Maine, United States of America",tcdc,gist_stern_r,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Square,11,14,225,0.25,1,0.25,#0D0065,#FFFFFF,800,cmyk,"43.0648,47.4598,-71.0843,-66.9406",
MD,"Maryland, United States of America",tcdc,YlGnBu,16,2,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#737467,#FFFFFF,800,cmyk,"37.912,39.7231,-79.4872,-75.0492",
MA,"Massachusetts, United States of America",tcdc,ocean_r,16,2,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#0B002C,#FFFFFF,800,cmyk,"41.2381,42.8868,-73.5081,-69.9282",
MI,"Michigan, United States of America",tcdc,BuPu_r,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#88818E,#FFFFFF,800,cmyk,"41.696,48.191,-90.4185,-82.4184",
MN,"Minnesota, United States of America",tcdc,winter_r,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#11A384,#FFFFFF,800,cmyk,"43.4993,49.3853,-97.2399,-89.4918",
MS,"Mississippi, United States of America",tcdc,gist_stern_r,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#0D0065,#FFFFFF,800,cmyk,"30.1739,34.9962,-91.6499,-88.0976",
MO,"Missouri, United States of America",tcdc,flag,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#0A003D,#FFFFFF,800,cmyk,"35.9042,40.6136,-95.7744,-89.0987",
MT,"Montana, United States of America",tcdc,Blues,8,2,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#FFFFFF,#000000,800,cmyk,"44.3579,49.0011,-116.0496,-104.0395",
NE,"Nebraska, United States of America",tcdc,Greys,8,2,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#000000,#FFFFFF,800,cmyk,"39.9999,43.0017,-104.0537,-95.3082",
NV,"Nevada, United States of America",tcdc,afmhot,8,2,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#741E0B,#FFFFFF,800,cmyk,"35.0023,42.0018,-120.0058,-114.0394",
NH,"New Hampshire, United States of America",tcdc,gist_stern_r,16,2,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#0D0065,#FFFFFF,800,cmyk,"42.6971,45.3053,-72.5573,-70.7086",
NJ,"New Jersey, United States of America",tcdc,gist_earth,16,2,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#3B5C4D,#FFFFFF,800,cmyk,"38.9289,41.3576,-75.5598,-73.8937",
NM,"New Mexico, United States of America",tcdc,CMRmap,8,2,0.25,19790101,20090101,tcdc,monthly,listing,Square,11,14,225,0.25,1,0.25,#3D0B89,#FFFFFF,800,cmyk,"31.3321,37.0002,-109.0502,-103.002",
NY,"New York, United States of America",tcdc,winter_r,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#11A384,#FFFFFF,800,cmyk,"40.496,45.0128,-79.762,-71.8562",
NC,"North Carolina, United States of America",tcdc,BuPu_r,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#88818E,#FFFFFF,800,cmyk,"33.8401,36.5883,-84.3217,-75.4604",
ND,"North Dakota, United States of America",tcdc,Blues,8,2,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#FFFFFF,#000000,800,cmyk,"45.935,49.0007,-104.0489,-96.5548",
OH,"Ohio, United States of America",tcdc,BuGn_r,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#6E7F7B,#FFFFFF,800,cmyk,"38.4031,41.9775,-84.8202,-80.5187",
OK,"Oklahoma, United States of America",tcdc,Blues,8,2,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#FFFFFF,#000000,800,cmyk,"33.616,37.0023,-103.0026,-94.4314",
OR,"Oregon, United States of America",tcdc,ocean_r,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#0B002C,#FFFFFF,800,cmyk,"41.992,46.2938,-124.5664,-116.4633",
PA,"Pennsylvania, United States of America",tcdc,cool_r,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#492B47,#FFFFFF,800,cmyk,"39.7199,42.2695,-80.5195,-74.6896",
RI,"Rhode Island, United States of America",tcdc,ocean_r,16,2,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#0B002C,#FFFFFF,800,cmyk,"41.1461,42.0191,-71.8865,-71.1207",
SC,"South Carolina, United States of America",tcdc,flag,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#0A003D,#FFFFFF,800,cmyk,"32.0374,35.2155,-83.3539,-78.5409",
SD,"South Dakota, United States of America",tcdc,Greys,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#000000,#FFFFFF,800,cmyk,"42.4796,45.9455,-104.0577,-96.4364",
TN,"Tennessee, United States of America",tcdc,copper_r,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#3A3A3A,#FFFFFF,800,cmyk,"34.9832,36.6783,-90.3105,-81.6469",
TX,"Texas, United States of America",tcdc,copper_r,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#3A3A3A,#FFFFFF,800,cmyk,"25.8371,36.5007,-106.646,-93.5083",
UT,"Utah, United States of America",tcdc,afmhot,8,2,0.25,19790101,20090101,tcdc,monthly,listing,Square,11,14,225,0.25,1,0.25,#741E0B,#FFFFFF,800,cmyk,"36.9978,42.0017,-114.0531,-109.0415",
VT,"Vermont, United States of America",tcdc,cool_r,16,2,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#492B47,#FFFFFF,800,cmyk,"42.7268,45.0165,-73.4382,-71.4651",
VA,"Virginia, United States of America",tcdc,gist_earth,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#3B5C4D,#FFFFFF,800,cmyk,"36.5408,39.4659,-83.6752,-75.2418",
WA,"Washington, United States of America",tcdc,winter_r,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#11A384,#FFFFFF,800,cmyk,"45.5437,49.0049,-124.7494,-116.9161",
WV,"West Virginia, United States of America",tcdc,Greys,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#000000,#FFFFFF,800,cmyk,"37.2017,40.6378,-82.6444,-77.7189",
WI,"Wisconsin, United States of America",tcdc,copper_r,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#3A3A3A,#FFFFFF,800,cmyk,"42.4919,47.0808,-92.8893,-86.8052",
WY,"Wyoming, United States of America",tcdc,gist_heat_r,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#482C2F,#FFFFFF,800,cmyk,"40.9946,45.006,-111.0563,-104.0518",
NA,"CONUS, United States of America",tcdc,Greys,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#000000,#FFFFFF,800,cmyk,"24.48,49.94,-124.26,-66.45",
